learning_rate,omega,phi_p,phi_g,x,y,best_value,epoch

0.3,0.4,1.0,1.0,-4.14350107e-10,-1.02765790e-08,1.0000000008287109,5108

0.3,0.4,1.0,1.2222222222222223,2.15757577e-09,1.35386950e-08,0.9999999956848667,5069

0.3,0.4,1.0,1.4444444444444444,-2.67723588e-09,6.60632656e-09,1.0000000053544764,5034

0.3,0.4,1.0,1.6666666666666665,4.42395528e-09,8.96190789e-10,0.9999999911520895,5035

0.3,0.4,1.0,1.8888888888888888,4.68519867e-09,8.42090704e-09,0.9999999906296098,6349

0.3,0.4,1.0,2.111111111111111,-4.53139361e-09,1.42599074e-08,1.0000000090628078,5176

0.3,0.4,1.0,2.333333333333333,5.30269751e-09,7.98695602e-09,0.9999999893946113,5177

0.3,0.4,1.0,2.5555555555555554,1.59755955e-09,-8.59074181e-09,0.9999999968048883,5219

0.3,0.4,1.0,2.7777777777777777,-1.99853101e-09,-1.39520539e-08,1.0000000039970818,5193

0.3,0.4,1.0,3.0,-6.96375149e-09,6.94646845e-09,1.000000013927508,5807

0.3,0.4,1.2222222222222223,1.0,1.01775499e-08,-8.41122542e-09,0.9999999796449076,5033

0.3,0.4,1.2222222222222223,1.2222222222222223,-2.46655420e-09,-3.84783636e-09,1.0000000049331101,5041

0.3,0.4,1.2222222222222223,1.4444444444444444,3.43105018e-09,9.56133534e-09,0.9999999931379087,5042

0.3,0.4,1.2222222222222223,1.6666666666666665,1.01713189e-08,-2.03643132e-09,0.9999999796573628,5037

0.3,0.4,1.2222222222222223,1.8888888888888888,-6.06573816e-10,-5.98584347e-09,1.0000000012131514,5040

0.3,0.4,1.2222222222222223,2.111111111111111,6.93237634e-09,-3.38702734e-09,0.9999999861352484,5702

0.3,0.4,1.2222222222222223,2.333333333333333,-4.82901873e-09,7.87218180e-10,1.0000000096580375,5062

0.3,0.4,1.2222222222222223,2.5555555555555554,8.95541211e-11,6.71523496e-09,0.9999999998208963,5131

0.3,0.4,1.2222222222222223,2.7777777777777777,-5.72877329e-09,-5.39915060e-09,1.0000000114575494,5277

0.3,0.4,1.2222222222222223,3.0,9.54809719e-09,8.61500757e-09,0.9999999809038131,5815

0.3,0.4,1.4444444444444444,1.0,-1.50336003e-09,-9.68541154e-09,1.0000000030067295,5165

0.3,0.4,1.4444444444444444,1.2222222222222223,8.00361254e-09,-9.47162301e-09,0.999999983992784,5051

0.3,0.4,1.4444444444444444,1.4444444444444444,-6.24853477e-09,-1.35342561e-08,1.0000000124970878,5049

0.3,0.4,1.4444444444444444,1.6666666666666665,-6.05022296e-09,-8.95627580e-09,1.000000012100454,5051

0.3,0.4,1.4444444444444444,1.8888888888888888,6.06871490e-09,-5.14512771e-09,0.9999999878625729,5051

0.3,0.4,1.4444444444444444,2.111111111111111,8.05199985e-09,6.56777811e-09,0.9999999838960048,5046

0.3,0.4,1.4444444444444444,2.333333333333333,-6.71219673e-09,1.71764864e-09,1.0000000134243938,6471

0.3,0.4,1.4444444444444444,2.5555555555555554,8.3727163e-10,-8.2357435e-09,0.9999999983254636,5108

0.3,0.4,1.4444444444444444,2.7777777777777777,-8.06732871e-09,-1.46496919e-08,1.0000000161346791,6037

0.3,0.4,1.4444444444444444,3.0,-3.08445679,-4.50435775,19667.7641287777,5553

0.3,0.4,1.6666666666666665,1.0,5.63008002e-09,1.47396023e-08,0.9999999887398616,5034

0.3,0.4,1.6666666666666665,1.2222222222222223,3.20963224e-10,6.48008227e-09,0.9999999993580777,5032

0.3,0.4,1.6666666666666665,1.4444444444444444,-7.29320376e-09,8.98940466e-09,1.0000000145864156,7434

0.3,0.4,1.6666666666666665,1.6666666666666665,3.72064958e-09,-1.46199848e-08,0.9999999925587223,5036

0.3,0.4,1.6666666666666665,1.8888888888888888,-6.90570043e-09,-3.52619299e-09,1.0000000138114022,5056

0.3,0.4,1.6666666666666665,2.111111111111111,-1.18587339e-09,-1.19605381e-08,1.000000002371761,5113

0.3,0.4,1.6666666666666665,2.333333333333333,1.02060132e-08,-3.65888104e-09,0.9999999795879749,5738

0.3,0.4,1.6666666666666665,2.5555555555555554,-9.34904727e-09,1.30092486e-08,1.0000000186981115,5819

0.3,0.4,1.6666666666666665,2.7777777777777777,6.2536246,0.0453058,152615.60660746586,7830

0.3,0.4,1.6666666666666665,3.0,-3.10746491,-4.58613609,20301.678513260857,7936

0.3,0.4,1.8888888888888888,1.0,3.92884709e-09,3.20168549e-09,0.9999999921423067,5076

0.3,0.4,1.8888888888888888,1.2222222222222223,-1.03718846e-08,1.23958626e-08,1.0000000207437847,5041

0.3,0.4,1.8888888888888888,1.4444444444444444,-5.97615468e-09,-9.25362694e-09,1.000000011952318,5083

0.3,0.4,1.8888888888888888,1.6666666666666665,4.85220897e-09,3.74097902e-10,0.9999999902955821,5306

0.3,0.4,1.8888888888888888,1.8888888888888888,-9.35425893e-09,-3.68858076e-09,1.0000000187085192,5719

0.3,0.4,1.8888888888888888,2.111111111111111,-1.17747006e-09,8.55937323e-09,1.0000000023549476,5040

0.3,0.4,1.8888888888888888,2.333333333333333,1.01365944e-08,-6.39563162e-09,0.9999999797268153,5108

0.3,0.4,1.8888888888888888,2.5555555555555554,3.0046943,-4.64125945,18689.397672142324,7054

0.3,0.4,1.8888888888888888,2.7777777777777777,0.07707337,-0.17708358,4.201567701548349,12172

0.3,0.4,1.8888888888888888,3.0,0.0187776,-9.24948337,8556.909340453532,6178

0.3,0.4,2.111111111111111,1.0,-2.39254783e-09,1.34588442e-08,1.000000004785114,5041

0.3,0.4,2.111111111111111,1.2222222222222223,-5.38354877e-09,6.47522108e-10,1.0000000107670974,5059

0.3,0.4,2.111111111111111,1.4444444444444444,-8.65514399e-09,1.38385216e-08,1.000000017310307,5063

0.3,0.4,2.111111111111111,1.6666666666666665,5.29447916e-09,1.77218839e-09,0.999999989411042,5839

0.3,0.4,2.111111111111111,1.8888888888888888,5.50998439e-09,1.05302298e-08,0.9999999889800424,5094

0.3,0.4,2.111111111111111,2.111111111111111,4.62073905e-09,-5.66899783e-09,0.9999999907585252,5089

0.3,0.4,2.111111111111111,2.333333333333333,-3.16390825,4.52000116,3031.6932125826092,7964

0.3,0.4,2.111111111111111,2.5555555555555554,-3.16070202,-4.314568,20479.484529225538,8354

0.3,0.4,2.111111111111111,2.7777777777777777,3.22911628,-4.65623082,22755.93328158337,5118

0.3,0.4,2.111111111111111,3.0,-9.64643202,-4.72392916,956158.8603423019,5123

0.3,0.4,2.333333333333333,1.0,-7.29199929e-09,-1.27914609e-08,1.0000000145840149,5053

0.3,0.4,2.333333333333333,1.2222222222222223,2.23502597e-09,1.37789942e-08,0.9999999955299671,5073

0.3,0.4,2.333333333333333,1.4444444444444444,-1.72599837e-09,1.35657090e-08,1.0000000034520153,5097

0.3,0.4,2.333333333333333,1.6666666666666665,5.67628988e-09,1.41651692e-08,0.9999999886474403,5029

0.3,0.4,2.333333333333333,1.8888888888888888,6.51291210e-09,-6.06043218e-09,0.9999999869741795,5082

0.3,0.4,2.333333333333333,2.111111111111111,-6.22372636,8.97549118,88613.64896096825,5132

0.3,0.4,2.333333333333333,2.333333333333333,-12.53140156,-8.82229344,2751081.2790502114,5075

0.3,0.4,2.333333333333333,2.5555555555555554,-0.21621556,0.22845246,4.780789030644689,13200

0.3,0.4,2.333333333333333,2.7777777777777777,-6.46405504,8.95897433,107803.99310196585,5882

0.3,0.4,2.333333333333333,3.0,6.05551014,-9.16959976,210145.14236440219,5723

0.3,0.4,2.5555555555555554,1.0,-5.66308408e-09,1.43676135e-09,1.0000000113261682,5076

0.3,0.4,2.5555555555555554,1.2222222222222223,-3.18188280e-09,6.92365435e-09,1.0000000063637704,5083

0.3,0.4,2.5555555555555554,1.4444444444444444,-2.63676374e-10,5.99409575e-09,1.0000000005273564,5068

0.3,0.4,2.5555555555555554,1.6666666666666665,-4.24066144e-09,-1.47215004e-08,1.0000000084813445,5051

