learning_rate,omega,phi_p,phi_g,x,y,best_value,epoch

0.3,0.4,1.0,1.0,1.83425829e-16,-1.39455915e-16,0.9999999999999996,5042

0.3,0.4,1.0,1.2222222222222223,1.80880593e-16,-3.20382837e-16,0.9999999999999996,5045

0.3,0.4,1.0,1.4444444444444444,2.79381641e-16,-1.81129770e-16,0.9999999999999993,5047

0.3,0.4,1.0,1.6666666666666665,2.34082780e-17,2.31110767e-16,1.0,5050

0.3,0.4,1.0,1.8888888888888888,7.75775407e-18,-1.45814194e-16,1.0,5044

0.3,0.4,1.0,2.111111111111111,-3.47554673e-17,1.03741652e-16,1.0,5056

0.3,0.4,1.0,2.333333333333333,9.18525230e-17,3.21730535e-16,0.9999999999999998,5100

0.3,0.4,1.0,2.5555555555555554,3.19577972e-16,3.44278111e-17,0.9999999999999993,5054

0.3,0.4,1.0,2.7777777777777777,-1.21057889e-16,2.94069643e-16,1.0000000000000004,5046

0.3,0.4,1.0,3.0,2.92267813e-16,7.66796051e-17,0.9999999999999993,5137

0.3,0.4,1.2222222222222223,1.0,1.30717791e-16,-3.47509749e-16,0.9999999999999998,5044

0.3,0.4,1.2222222222222223,1.2222222222222223,3.09737855e-17,1.80742972e-16,1.0,5045

0.3,0.4,1.2222222222222223,1.4444444444444444,-4.18774678e-17,-1.41182479e-16,1.0,5049

0.3,0.4,1.2222222222222223,1.6666666666666665,1.56880665e-16,2.67362392e-16,0.9999999999999998,5055

0.3,0.4,1.2222222222222223,1.8888888888888888,7.60762797e-17,-1.05450550e-16,0.9999999999999998,5053

0.3,0.4,1.2222222222222223,2.111111111111111,-5.86653900e-17,-2.02482624e-16,1.0,5072

0.3,0.4,1.2222222222222223,2.333333333333333,2.78100233e-16,-8.45723290e-17,0.9999999999999993,5050

0.3,0.4,1.2222222222222223,2.5555555555555554,-1.84239571e-16,3.39989456e-16,1.0000000000000004,5059

0.3,0.4,1.2222222222222223,2.7777777777777777,-3.18989668e-16,-1.69628171e-16,1.0000000000000004,5067

0.3,0.4,1.2222222222222223,3.0,-3.63044042e-16,1.14283400e-16,1.0000000000000009,5055

0.3,0.4,1.4444444444444444,1.0,2.55748006e-16,-8.79883771e-17,0.9999999999999996,5044

0.3,0.4,1.4444444444444444,1.2222222222222223,-3.00685601e-16,-9.10416873e-17,1.0000000000000004,5045

0.3,0.4,1.4444444444444444,1.4444444444444444,1.61276419e-17,3.12690965e-16,1.0,5059

0.3,0.4,1.4444444444444444,1.6666666666666665,-6.77981153e-17,-2.38131863e-16,1.0,5064

0.3,0.4,1.4444444444444444,1.8888888888888888,-3.74443883e-17,1.48752307e-16,1.0,5050

0.3,0.4,1.4444444444444444,2.111111111111111,-2.38348424e-17,-6.62641119e-17,1.0,5050

0.3,0.4,1.4444444444444444,2.333333333333333,-8.20788804e-17,3.10069711e-16,1.0,5046

0.3,0.4,1.4444444444444444,2.5555555555555554,2.13811424e-16,2.31349765e-16,0.9999999999999996,5050

0.3,0.4,1.4444444444444444,2.7777777777777777,-1.24206544e-15,9.30744129e-16,1.0000000000000027,5042

0.3,0.4,1.4444444444444444,3.0,6.55940565e-16,1.08394029e-15,0.9999999999999987,5058

0.3,0.4,1.6666666666666665,1.0,-1.15458761e-16,-1.56933617e-16,1.0000000000000004,5043

0.3,0.4,1.6666666666666665,1.2222222222222223,2.77913123e-16,1.00802482e-16,0.9999999999999993,5048

0.3,0.4,1.6666666666666665,1.4444444444444444,6.93235648e-17,-1.88864138e-16,0.9999999999999998,5053

0.3,0.4,1.6666666666666665,1.6666666666666665,3.16990011e-16,1.99340827e-16,0.9999999999999993,5048

0.3,0.4,1.6666666666666665,1.8888888888888888,1.29769350e-16,-3.31336276e-16,0.9999999999999998,5110

0.3,0.4,1.6666666666666665,2.111111111111111,-1.35178438e-16,-3.49411943e-16,1.0000000000000004,5050

