learning_rate,omega,phi_p,phi_g,x,y,best_value,epoch
0.3,0.4,2.111111111111111,1.8888888888888888,-8.59189143e-163,3.46113751e-164,1.0,5418

0.3,0.4,2.111111111111111,2.111111111111111,-1.01064241e-162,2.93304565e-163,1.0,5423

0.3,0.4,2.111111111111111,2.333333333333333,-4.44062384e-165,-1.47615038e-162,1.0,5412

0.3,0.4,2.111111111111111,2.5555555555555554,-1.03681120e-162,7.29173662e-163,1.0,5416

0.3,0.4,2.111111111111111,2.7777777777777777,-1.45696642e-162,-5.84504648e-164,1.0,5411

0.3,0.4,2.111111111111111,3.0,-4.13038592e-163,-1.24508409e-162,1.0,5505

0.3,0.4,2.333333333333333,1.0,2.70258648e-163,-1.48474782e-162,1.0,5426

0.3,0.4,2.333333333333333,1.2222222222222223,-1.01791916e-162,9.46034273e-164,1.0,5420

0.3,0.4,2.333333333333333,1.4444444444444444,5.70716892e-163,1.20808524e-162,1.0,5417

0.3,0.4,2.333333333333333,1.6666666666666665,-9.15663242e-163,-1.25175395e-162,1.0,5416

0.3,0.4,2.333333333333333,1.8888888888888888,9.28250558e-163,-1.05291277e-162,1.0,5411

0.3,0.4,2.333333333333333,2.111111111111111,-1.26669028e-162,-3.83656126e-163,1.0,5409

0.3,0.4,2.333333333333333,2.333333333333333,8.01527043e-163,-1.55857499e-162,1.0,5409

0.3,0.4,2.333333333333333,2.5555555555555554,9.88222620e-164,-8.02677208e-163,1.0,5412

0.3,0.4,2.333333333333333,2.7777777777777777,1.68864414e-163,8.20263487e-163,1.0,5411

0.3,0.4,2.333333333333333,3.0,1.27055484e-162,9.66862623e-163,1.0,5410

0.3,0.4,2.5555555555555554,1.0,1.01684555e-162,3.57292051e-163,1.0,5419

0.3,0.4,2.5555555555555554,1.2222222222222223,-1.56043288e-162,1.01235864e-162,1.0,5419

0.3,0.4,2.5555555555555554,1.4444444444444444,-3.61479057e-163,8.23866282e-163,1.0,5415

0.3,0.4,2.5555555555555554,1.6666666666666665,-6.38418336e-163,-1.54677275e-162,1.0,5419

0.3,0.4,2.5555555555555554,1.8888888888888888,-3.03596517e-163,1.20998500e-162,1.0,5410

0.3,0.4,2.5555555555555554,2.111111111111111,6.97184095e-163,-1.62672818e-163,1.0,5416

0.3,0.4,2.5555555555555554,2.333333333333333,1.14559425e-162,1.53590005e-163,1.0,5418

0.3,0.4,2.5555555555555554,2.5555555555555554,-1.43351831e-162,-3.88508871e-164,1.0,5414

0.3,0.4,2.5555555555555554,2.7777777777777777,-1.47453887e-162,-3.15284189e-163,1.0,5412

0.3,0.4,2.5555555555555554,3.0,-7.16063023e-163,1.38786583e-162,1.0,5410

0.3,0.4,2.7777777777777777,1.0,2.14689849e-163,-8.05979021e-163,1.0,5412

0.3,0.4,2.7777777777777777,1.2222222222222223,-1.45323421e-162,6.32475259e-163,1.0,5413

